Movie Title,Category,Minutes,Year,Main Actor,Rating
The Shawshank Redemption,Drama,142,1994,Tim Robbins,9.2
Rear Window,Thriller,112,1954,James Stewart,8.7
The Godfather,Drama,175,1972,Marlon Brando,9.2
Pulp Fiction,Thriller,154,1994,John Travolta,8.9
Raiders of the Lost Ark,Action,115,1981,Harrison Ford,8.7
Schindler's List,Drama,195,1993,Liam Neeson,8.9
12 Angry Men,Drama,96,1957,Martin Balsam,8.9
One Flew Over the Cuckoo's Nest,Drama,133,1975,Jack Nicholson,8.8
The Dark Knight,Action,152,2008,Christian Bale,8.8
Monty Python and the Holy Grail,Comedy,91,1975,Graham Chapman,8.4
Monsters Inc.,Family,92,2001,John Goodman,7.9
Forrest Gump,Comedy,142,1994,Tom Hanks,8.6
2001: A Space Odyssey,Sci-Fi,141,1968,Keir Dullea,8.4
Back to the Future,Family,116,1985,Michael J. Fox,8.3
The Lord of the Rings: The Return of the King,Action,201,2003,Elijah Wood,8.8
Star Wars,Action,121,1977,Mark Hamill,8.8
Casablanca,Drama,102,1942,Humphrey Bogart,8.8
Goodfellas,Drama,146,1990,Robert De Niro,8.8
The Matrix,Sci-Fi,136,1999,Keanu Reeves,8.6
It's a Wonderful Life,Family,130,1946,James Stewart,8.6
Dr. Strangelove,Comedy,93,1964,Peter Sellers,8.6
North by Northwest,Action,131,1959,Cary Grant,8.6
Citizen Kane,Drama,119,1941,Orson Welles,8.6
Up,Family,96,2009,Edward Asner,8.4
Singin' in the Rain,Musical,103,1952,Gene Kelly,8.4
All About Eve,Drama,138,1951,Bette Davis,8.3
The Wizard of Oz,Musical,101,1939,Judy Garland,8.2
Ratatouille,Family,111,2007,Patton Oswalt,8.1